Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_7168_8192_8192,Gemm_Hipblaslt_TN_9941,1.57533
GemmTunableOp_Half_TN,tn_8192_4_1024,Gemm_Rocblas_621294372,0.00673405
GemmTunableOp_Half_TN,tn_8192_8_1024,Gemm_Rocblas_621294054,0.00642198
GemmTunableOp_Half_TN,tn_7168_64_8192,Gemm_Hipblaslt_TN_9435,0.0357979
GemmTunableOp_Half_TN,tn_8192_8_3584,Gemm_Rocblas_621294041,0.0125992
GemmTunableOp_Half_TN,tn_1280_72_8192,Gemm_Rocblas_621286277,0.0129826
GemmTunableOp_Half_TN,tn_8192_256_1024,Gemm_Rocblas_621294178,0.0135807
GemmTunableOp_Half_TN,tn_7168_120_8192,Gemm_Hipblaslt_TN_8891,0.0507037
GemmTunableOp_Half_TN,tn_8192_176_3584,Gemm_Hipblaslt_TN_9496,0.0305516
GemmTunableOp_Half_TN,tn_8192_200_1024,Gemm_Hipblaslt_TN_9532,0.013474
GemmTunableOp_Half_TN,tn_7168_160_8192,Gemm_Hipblaslt_TN_8098,0.0561201
GemmTunableOp_Half_TN,tn_1280_248_8192,Gemm_Hipblaslt_TN_9432,0.0240339
GemmTunableOp_Half_TN,tn_7168_168_8192,Gemm_Hipblaslt_TN_7287,0.0610333
GemmTunableOp_Half_TN,tn_1280_96_8192,Gemm_Rocblas_621294026,0.0137325
GemmTunableOp_Half_TN,tn_1280_144_8192,Gemm_Rocblas_621294162,0.0187617
GemmTunableOp_Half_TN,tn_8192_80_1024,Gemm_Rocblas_621294175,0.00818001
GemmTunableOp_Half_TN,tn_8192_240_3584,Gemm_Rocblas_621286493,0.0376268
GemmTunableOp_Half_TN,tn_1280_128_8192,Gemm_Rocblas_621286434,0.0166468
GemmTunableOp_Half_TN,tn_8192_4_3584,Gemm_Rocblas_621294041,0.0125571
GemmTunableOp_Half_TN,tn_7168_240_8192,Gemm_Hipblaslt_TN_9573,0.0730757
GemmTunableOp_Half_TN,tn_8192_216_3584,Gemm_Rocblas_621294232,0.0366805
GemmTunableOp_Half_TN,tn_7168_208_8192,Gemm_Hipblaslt_TN_9365,0.0693979
GemmTunableOp_Half_TN,tn_1280_176_8192,Gemm_Hipblaslt_TN_9414,0.0201585
GemmTunableOp_Half_TN,tn_1280_216_8192,Gemm_Rocblas_621286435,0.022022
GemmTunableOp_Half_TN,tn_1280_168_8192,Gemm_Rocblas_621294163,0.0201951
GemmTunableOp_Half_TN,tn_8192_72_1024,Gemm_Rocblas_621286447,0.00801556
GemmTunableOp_Half_TN,tn_8192_192_1024,Gemm_Rocblas_621294208,0.0124901
GemmTunableOp_Half_TN,tn_8192_224_1024,Gemm_Rocblas_621294207,0.0137028
GemmTunableOp_Half_TN,tn_8192_256_3584,Gemm_Rocblas_621294232,0.0373688
GemmTunableOp_Half_TN,tn_8192_208_3584,Gemm_Hipblaslt_TN_9545,0.0359843
GemmTunableOp_Half_TN,tn_7168_56_8192,Gemm_Hipblaslt_TN_7484,0.0354793
GemmTunableOp_Half_TN,tn_1280_120_8192,Gemm_Rocblas_621294162,0.0165671
GemmTunableOp_Half_TN,tn_8192_144_1024,Gemm_Rocblas_621294209,0.0117844
GemmTunableOp_Half_TN,tn_1280_88_8192,Gemm_Rocblas_621294026,0.0138044
GemmTunableOp_Half_TN,tn_8192_40_3584,Gemm_Rocblas_621286278,0.0164085
GemmTunableOp_Half_TN,tn_8192_176_1024,Gemm_Rocblas_621286455,0.0133087
