Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_28672_938_4096,Gemm_Hipblaslt_TN_9683,0.401578
GemmTunableOp_Half_TN,tn_4096_1900_14336,Gemm_Hipblaslt_TN_9645,0.417182
GemmTunableOp_Half_TN,tn_4096_1822_4096,Gemm_Hipblaslt_TN_9602,0.117899
GemmTunableOp_Half_TN,tn_28672_985_4096,Gemm_Hipblaslt_TN_9716,0.443767
GemmTunableOp_Half_TN,tn_28672_877_4096,Gemm_Hipblaslt_TN_9683,0.391574
GemmTunableOp_Half_TN,tn_4096_1719_14336,Gemm_Hipblaslt_TN_9790,0.370178
GemmTunableOp_Half_TN,tn_4096_835_14336,Gemm_Hipblaslt_TN_9131,0.219967
GemmTunableOp_Half_TN,tn_4096_2793_4096,Gemm_Hipblaslt_TN_9788,0.166813
GemmTunableOp_Half_TN,tn_28672_4471_4096,Gemm_Hipblaslt_TN_9914,1.81321
GemmTunableOp_Half_TN,tn_28672_1600_4096,Gemm_Hipblaslt_TN_9674,0.708313
GemmTunableOp_Half_TN,tn_4096_1817_4096,Gemm_Hipblaslt_TN_9645,0.118711
GemmTunableOp_Half_TN,tn_28672_881_4096,Gemm_Hipblaslt_TN_9683,0.392162
GemmTunableOp_Half_TN,tn_4096_2703_4096,Gemm_Rocblas_621294320,0.16349
GemmTunableOp_Half_TN,tn_4096_901_14336,Gemm_Hipblaslt_TN_9634,0.231438
GemmTunableOp_Half_TN,tn_4096_944_14336,Gemm_Hipblaslt_TN_9634,0.233624
GemmTunableOp_Half_TN,tn_4096_2653_14336,Gemm_Rocblas_621294426,0.549648
GemmTunableOp_Half_TN,tn_28672_4242_4096,Gemm_Hipblaslt_TN_9827,1.66613
GemmTunableOp_Half_TN,tn_28672_7944_4096,Gemm_Hipblaslt_TN_159,3.19397
GemmTunableOp_Half_TN,tn_4096_2602_4096,Gemm_Hipblaslt_TN_9799,0.160325
GemmTunableOp_Half_TN,tn_4096_982_14336,Gemm_Hipblaslt_TN_9586,0.246992
GemmTunableOp_Half_TN,tn_6144_915_4096,Gemm_Hipblaslt_TN_9613,0.0944732
GemmTunableOp_Half_TN,tn_4096_815_4096,Gemm_Hipblaslt_TN_9634,0.0639986
GemmTunableOp_Half_TN,tn_6144_944_4096,Gemm_Hipblaslt_TN_9561,0.0944532
GemmTunableOp_Half_TN,tn_4096_2571_4096,Gemm_Hipblaslt_TN_9657,0.159986
GemmTunableOp_Half_TN,tn_128256_91_4096,Gemm_Hipblaslt_TN_9057,0.399787
GemmTunableOp_Half_TN,tn_6144_3352_4096,Gemm_Rocblas_621294306,0.307306
GemmTunableOp_Half_TN,tn_4096_8007_4096,Gemm_Rocblas_621294127,0.45031
GemmTunableOp_Half_TN,tn_28672_1791_4096,Gemm_Hipblaslt_TN_9217,0.752002
