Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_10240_2097_8192,Gemm_Hipblaslt_TN_9209,0.641372
GemmTunableOp_Half_TN,tn_57344_2096_8192,Gemm_Rocblas_621294543,3.93996
GemmTunableOp_Half_TN,tn_57344_4017_8192,Gemm_Rocblas_621286915,6.71498
GemmTunableOp_Half_TN,tn_10240_2284_8192,Gemm_Hipblaslt_TN_9697,0.666148
GemmTunableOp_Half_TN,tn_10240_2369_8192,Gemm_Rocblas_621286684,0.687108
GemmTunableOp_Half_TN,tn_10240_2049_8192,Gemm_Hipblaslt_TN_9690,0.618394
GemmTunableOp_Half_TN,tn_10240_59_8192,Gemm_Hipblaslt_TN_9086,0.0488889
GemmTunableOp_Half_TN,tn_57344_2145_8192,Gemm_Rocblas_621294543,3.97282
GemmTunableOp_Half_TN,tn_8192_2289_28672,Gemm_Hipblaslt_TN_9774,2.25776
GemmTunableOp_Half_TN,tn_8192_4081_8192,Gemm_Hipblaslt_TN_9768,0.912904
GemmTunableOp_Half_TN,tn_8192_2079_28672,Gemm_Hipblaslt_TN_9763,2.07442
GemmTunableOp_Half_TN,tn_57344_2465_8192,Gemm_Rocblas_621286535,4.46989
GemmTunableOp_Half_TN,tn_8192_2192_28672,Gemm_Hipblaslt_TN_9762,2.08979
GemmTunableOp_Half_TN,tn_8192_2000_8192,Gemm_Hipblaslt_TN_9768,0.442535
GemmTunableOp_Half_TN,tn_57344_2369_8192,Default,4.35519
GemmTunableOp_Half_TN,tn_8192_2417_8192,Gemm_Hipblaslt_TN_9698,0.572329
GemmTunableOp_Half_TN,tn_32000_57_8192,Gemm_Hipblaslt_TN_9460,0.162921
GemmTunableOp_Half_TN,tn_8192_2112_8192,Gemm_Hipblaslt_TN_9742,0.504555
GemmTunableOp_Half_TN,tn_10240_2112_8192,Gemm_Hipblaslt_TN_9182,0.639942
GemmTunableOp_Half_TN,tn_8192_4033_8192,Gemm_Hipblaslt_TN_9753,0.903661
GemmTunableOp_Half_TN,tn_10240_2238_8192,Gemm_Rocblas_621286580,0.65225
GemmTunableOp_Half_TN,tn_8192_2028_28672,Gemm_Hipblaslt_TN_9840,1.77649
GemmTunableOp_Half_TN,tn_8192_2160_8192,Gemm_Hipblaslt_TN_9742,0.51775
GemmTunableOp_Half_TN,tn_8192_2017_8192,Gemm_Hipblaslt_TN_9840,0.478887
GemmTunableOp_Half_TN,tn_32000_55_8192,Gemm_Rocblas_621286466,0.163029
GemmTunableOp_Half_TN,tn_57344_57_8192,Gemm_Rocblas_621286468,0.310486
GemmTunableOp_Half_TN,tn_57344_2161_8192,Gemm_Rocblas_621294542,3.97019
GemmTunableOp_Half_TN,tn_57344_2417_8192,Gemm_Hipblaslt_TN_9800,4.46192
GemmTunableOp_Half_TN,tn_10240_2225_8192,Gemm_Rocblas_621286575,0.656273
GemmTunableOp_Half_TN,tn_8192_2145_28672,Gemm_Hipblaslt_TN_9762,2.06939
GemmTunableOp_Half_TN,tn_10240_2208_8192,Gemm_Rocblas_621294320,0.649759
GemmTunableOp_Half_TN,tn_10240_63_8192,Gemm_Hipblaslt_TN_9304,0.0485402
GemmTunableOp_Half_TN,tn_57344_2082_8192,Gemm_Rocblas_621294542,3.91891
GemmTunableOp_Half_TN,tn_8192_2415_28672,Gemm_Hipblaslt_TN_9670,2.36557
GemmTunableOp_Half_TN,tn_8192_2082_8192,Gemm_Hipblaslt_TN_9742,0.50317
GemmTunableOp_Half_TN,tn_10240_4081_8192,Gemm_Hipblaslt_TN_9743,1.14447
GemmTunableOp_Half_TN,tn_8192_62_28672,Gemm_Rocblas_621286489,0.145496
