Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_4096_1000_11008,Gemm_Hipblaslt_TN_9640,0.195185
GemmTunableOp_Half_TN,tn_22016_233_4096,Gemm_Hipblaslt_TN_9720,0.0988706
GemmTunableOp_Half_TN,tn_4096_3451_11008,Gemm_Hipblaslt_TN_9683,0.521471
GemmTunableOp_Half_TN,tn_4096_240_11008,Gemm_Hipblaslt_TN_9303,0.0653776
GemmTunableOp_Half_TN,tn_4096_3717_11008,Gemm_Hipblaslt_TN_9749,0.559806
GemmTunableOp_Half_TN,tn_22016_240_4096,Gemm_Hipblaslt_TN_9720,0.099952
GemmTunableOp_Half_TN,tn_4096_3430_4096,Gemm_Hipblaslt_TN_9743,0.196105
GemmTunableOp_Half_TN,tn_4096_2798_4096,Gemm_Rocblas_621294426,0.167499
GemmTunableOp_Half_TN,tn_4096_29_4096,Gemm_Rocblas_621294139,0.0115357
GemmTunableOp_Half_TN,tn_4096_3972_4096,Gemm_Hipblaslt_TN_9713,0.225403
GemmTunableOp_Half_TN,tn_4096_2850_11008,Gemm_Hipblaslt_TN_9566,0.445043
GemmTunableOp_Half_TN,tn_22016_4083_4096,Gemm_Hipblaslt_TN_9841,1.29976
GemmTunableOp_Half_TN,tn_12288_2754_4096,Gemm_Hipblaslt_TN_9691,0.49722
GemmTunableOp_Half_TN,tn_12288_231_4096,Gemm_Rocblas_621294215,0.0587292
GemmTunableOp_Half_TN,tn_4096_223_11008,Gemm_Hipblaslt_TN_9301,0.0610775
GemmTunableOp_Half_TN,tn_4096_216_4096,Gemm_Rocblas_621294230,0.025214
GemmTunableOp_Half_TN,tn_4096_236_11008,Gemm_Hipblaslt_TN_9303,0.0649062
GemmTunableOp_Half_TN,tn_32000_233_4096,Gemm_Rocblas_621286974,0.145835
GemmTunableOp_Half_TN,tn_4096_3000_4096,Gemm_Hipblaslt_TN_9709,0.175193
GemmTunableOp_Half_TN,tn_22016_218_4096,Gemm_Hipblaslt_TN_9720,0.0984052
GemmTunableOp_Half_TN,tn_12288_4083_4096,Gemm_Hipblaslt_TN_9768,0.688923
GemmTunableOp_Half_TN,tn_12288_3000_4096,Gemm_Rocblas_621294315,0.521522
GemmTunableOp_Half_TN,tn_4096_3717_4096,Gemm_Hipblaslt_TN_9841,0.214484
GemmTunableOp_Half_TN,tn_4096_231_11008,Gemm_Hipblaslt_TN_8879,0.0636435
GemmTunableOp_Half_TN,tn_12288_256_4096,Gemm_Rocblas_621286478,0.0577117
GemmTunableOp_Half_TN,tn_4096_254_11008,Gemm_Hipblaslt_TN_7618,0.0677327
GemmTunableOp_Half_TN,tn_4096_2802_11008,Gemm_Hipblaslt_TN_9709,0.441421
GemmTunableOp_Half_TN,tn_12288_240_4096,Gemm_Rocblas_621294215,0.0593646
GemmTunableOp_Half_TN,tn_4096_4096_11008,Gemm_Hipblaslt_TN_9655,0.60122
GemmTunableOp_Half_TN,tn_4096_2750_4096,Gemm_Hipblaslt_TN_9799,0.166314
GemmTunableOp_Half_TN,tn_22016_223_4096,Gemm_Hipblaslt_TN_9720,0.0975753
GemmTunableOp_Half_TN,tn_22016_3263_4096,Gemm_Hipblaslt_TN_9834,1.02745
GemmTunableOp_Half_TN,tn_4096_3577_4096,Gemm_Hipblaslt_TN_9743,0.203163
GemmTunableOp_Half_TN,tn_4096_3923_11008,Gemm_Hipblaslt_TN_9768,0.582928
GemmTunableOp_Half_TN,tn_22016_245_4096,Gemm_Hipblaslt_TN_9641,0.102722
GemmTunableOp_Half_TN,tn_12288_2938_4096,Gemm_Rocblas_621286575,0.512841
GemmTunableOp_Half_TN,tn_4096_3243_11008,Gemm_Hipblaslt_TN_9683,0.498384
GemmTunableOp_Half_TN,tn_32000_31_4096,Gemm_Rocblas_621286346,0.0523147
GemmTunableOp_Half_TN,tn_22016_2750_4096,Gemm_Hipblaslt_TN_9827,0.892466
GemmTunableOp_Half_TN,tn_32000_227_4096,Gemm_Rocblas_621286974,0.146993
GemmTunableOp_Half_TN,tn_4096_2962_11008,Gemm_Hipblaslt_TN_9709,0.459116
GemmTunableOp_Half_TN,tn_12288_244_4096,Gemm_Rocblas_621294215,0.0594479
GemmTunableOp_Half_TN,tn_4096_2915_11008,Gemm_Hipblaslt_TN_9799,0.454377
GemmTunableOp_Half_TN,tn_4096_3785_4096,Gemm_Hipblaslt_TN_9827,0.214762
GemmTunableOp_Half_TN,tn_32000_220_4096,Gemm_Hipblaslt_TN_9590,0.139928
GemmTunableOp_Half_TN,tn_22016_3535_4096,Gemm_Hipblaslt_TN_9841,1.09133
GemmTunableOp_Half_TN,tn_22016_29_4096,Gemm_Rocblas_621294191,0.0365436
GemmTunableOp_Half_TN,tn_4096_240_4096,Gemm_Rocblas_621286445,0.0262866
GemmTunableOp_Half_TN,tn_22016_238_4096,Gemm_Hipblaslt_TN_9720,0.100204
GemmTunableOp_Half_TN,tn_12288_8_4096,Gemm_Rocblas_621286318,0.0214747
GemmTunableOp_Half_TN,tn_4096_2000_11008,Gemm_Hipblaslt_TN_9645,0.326649
GemmTunableOp_Half_TN,tn_4096_2842_4096,Gemm_Rocblas_621294425,0.169705
GemmTunableOp_Half_TN,tn_32000_24_4096,Gemm_Hipblaslt_TN_7468,0.0516066
GemmTunableOp_Half_TN,tn_12288_248_4096,Gemm_Rocblas_621294215,0.0592946
GemmTunableOp_Half_TN,tn_4096_24_4096,Gemm_Rocblas_621286328,0.0115259
GemmTunableOp_Half_TN,tn_32000_226_4096,Gemm_Hipblaslt_TN_9845,0.144619
GemmTunableOp_Half_TN,tn_4096_11_11008,Gemm_Rocblas_621294135,0.0240233
GemmTunableOp_Half_TN,tn_22016_230_4096,Gemm_Hipblaslt_TN_9720,0.100103
GemmTunableOp_Half_TN,tn_12288_27_4096,Gemm_Rocblas_621294154,0.0231913
GemmTunableOp_Half_TN,tn_22016_235_4096,Gemm_Hipblaslt_TN_9720,0.0991802
GemmTunableOp_Half_TN,tn_4096_3813_11008,Gemm_Hipblaslt_TN_9768,0.574353
GemmTunableOp_Half_TN,tn_12288_22_4096,Gemm_Rocblas_621294052,0.0223823
GemmTunableOp_Half_TN,tn_4096_14_4096,Gemm_Rocblas_621294130,0.0100461
GemmTunableOp_Half_TN,tn_4096_255_4096,Gemm_Rocblas_621286443,0.0263424
GemmTunableOp_Half_TN,tn_4096_4051_11008,Gemm_Hipblaslt_TN_9190,0.5995
GemmTunableOp_Half_TN,tn_22016_16_4096,Gemm_Rocblas_621294186,0.0353742
GemmTunableOp_Half_TN,tn_22016_4051_4096,Gemm_Hipblaslt_TN_9827,1.30846
GemmTunableOp_Half_TN,tn_12288_2898_4096,Gemm_Hipblaslt_TN_9691,0.515371
GemmTunableOp_Half_TN,tn_4096_4096_4096,Gemm_Rocblas_621294030,0.229596
GemmTunableOp_Half_TN,tn_4096_27_11008,Gemm_Rocblas_621286305,0.0242793
GemmTunableOp_Half_TN,tn_22016_228_4096,Gemm_Hipblaslt_TN_9720,0.0989035
GemmTunableOp_Half_TN,tn_32000_8_4096,Gemm_Rocblas_621294053,0.0486673
GemmTunableOp_Half_TN,tn_4096_2770_4096,Gemm_Hipblaslt_TN_9799,0.166539
GemmTunableOp_Half_TN,tn_4096_3953_4096,Gemm_Hipblaslt_TN_9768,0.222196
GemmTunableOp_Half_TN,tn_22016_2930_4096,Gemm_Hipblaslt_TN_9827,0.915977
GemmTunableOp_Half_TN,tn_12288_34_4096,Gemm_Rocblas_621286462,0.0255044
GemmTunableOp_Half_TN,tn_12288_4035_4096,Gemm_Rocblas_621294435,0.686025
GemmTunableOp_Half_TN,tn_22016_2778_4096,Gemm_Hipblaslt_TN_9827,0.897523
GemmTunableOp_Half_TN,tn_4096_219_4096,Gemm_Rocblas_621286491,0.0251623
GemmTunableOp_Half_TN,tn_4096_3925_11008,Gemm_Hipblaslt_TN_9768,0.585223
GemmTunableOp_Half_TN,tn_22016_4096_4096,Gemm_Hipblaslt_TN_9840,1.28908
GemmTunableOp_Half_TN,tn_32000_36_4096,Gemm_Hipblaslt_TN_9514,0.0553999
GemmTunableOp_Half_TN,tn_4096_3621_4096,Gemm_Hipblaslt_TN_9221,0.201365
GemmTunableOp_Half_TN,tn_12288_1293_4096,Gemm_Rocblas_621294484,0.220058
GemmTunableOp_Half_TN,tn_4096_241_4096,Gemm_Rocblas_621286443,0.0260915
GemmTunableOp_Half_TN,tn_12288_1261_4096,Gemm_Hipblaslt_TN_9217,0.219784
GemmTunableOp_Half_TN,tn_4096_3669_11008,Gemm_Hipblaslt_TN_9655,0.557808
GemmTunableOp_Half_TN,tn_12288_7_4096,Gemm_Rocblas_621294052,0.0213621
GemmTunableOp_Half_TN,tn_22016_253_4096,Gemm_Hipblaslt_TN_9720,0.102147
GemmTunableOp_Half_TN,tn_12288_230_4096,Gemm_Rocblas_621286478,0.0586283
GemmTunableOp_Half_TN,tn_4096_2862_11008,Gemm_Hipblaslt_TN_9674,0.444353
GemmTunableOp_Half_TN,tn_4096_16_11008,Gemm_Rocblas_621286312,0.0226533
GemmTunableOp_Half_TN,tn_22016_248_4096,Gemm_Hipblaslt_TN_9720,0.10242
GemmTunableOp_Half_TN,tn_4096_2398_4096,Gemm_Hipblaslt_TN_9698,0.144658
GemmTunableOp_Half_TN,tn_4096_236_4096,Gemm_Rocblas_621286491,0.0259629
GemmTunableOp_Half_TN,tn_4096_238_11008,Gemm_Hipblaslt_TN_9303,0.0640068
GemmTunableOp_Half_TN,tn_32000_251_4096,Gemm_Hipblaslt_TN_9845,0.152358
GemmTunableOp_Half_TN,tn_32000_246_4096,Gemm_Hipblaslt_TN_9665,0.148808
GemmTunableOp_Half_TN,tn_4096_248_4096,Gemm_Rocblas_621286491,0.0265531
GemmTunableOp_Half_TN,tn_22016_2834_4096,Gemm_Hipblaslt_TN_9827,0.893067
GemmTunableOp_Half_TN,tn_12288_3953_4096,Gemm_Hipblaslt_TN_9753,0.665668
GemmTunableOp_Half_TN,tn_4096_4000_4096,Gemm_Rocblas_621294030,0.222614
GemmTunableOp_Half_TN,tn_12288_255_4096,Gemm_Rocblas_621286478,0.0597837
GemmTunableOp_Half_TN,tn_12288_4051_4096,Gemm_Hipblaslt_TN_9749,0.688673
GemmTunableOp_Half_TN,tn_12288_33_4096,Gemm_Rocblas_621294171,0.0253858
GemmTunableOp_Half_TN,tn_22016_3173_4096,Gemm_Hipblaslt_TN_9832,1.00726
GemmTunableOp_Half_TN,tn_4096_3925_4096,Gemm_Hipblaslt_TN_9713,0.223282
GemmTunableOp_Half_TN,tn_22016_256_4096,Gemm_Hipblaslt_TN_9720,0.102165
GemmTunableOp_Half_TN,tn_4096_24_11008,Gemm_Rocblas_621286305,0.0240317
GemmTunableOp_Half_TN,tn_4096_254_4096,Gemm_Rocblas_621294230,0.02645
GemmTunableOp_Half_TN,tn_22016_2978_4096,Gemm_Hipblaslt_TN_9827,0.917098
GemmTunableOp_Half_TN,tn_12288_3530_4096,Gemm_Hipblaslt_TN_9677,0.598473
GemmTunableOp_Half_TN,tn_22016_3333_4096,Gemm_Hipblaslt_TN_9841,1.08658
GemmTunableOp_Half_TN,tn_4096_2818_11008,Gemm_Hipblaslt_TN_9566,0.438123
GemmTunableOp_Half_TN,tn_4096_3451_4096,Gemm_Hipblaslt_TN_9189,0.197136
GemmTunableOp_Half_TN,tn_4096_35_4096,Gemm_Rocblas_621286428,0.0125973
GemmTunableOp_Half_TN,tn_4096_231_4096,Gemm_Rocblas_621286491,0.025975
GemmTunableOp_Half_TN,tn_12288_3923_4096,Gemm_Hipblaslt_TN_9704,0.662623
GemmTunableOp_Half_TN,tn_12288_4096_4096,Gemm_Hipblaslt_TN_9768,0.693155
GemmTunableOp_Half_TN,tn_12288_3987_4096,Gemm_Hipblaslt_TN_9753,0.667375
GemmTunableOp_Half_TN,tn_4096_221_4096,Gemm_Rocblas_621294230,0.0254791
GemmStridedBatchedTunableOp_Half_TN,tn_1080_1080_128_B_32,Gemm_Rocblas_621294725,0.0579552
GemmStridedBatchedTunableOp_Half_TN,tn_1089_1089_128_B_32,Gemm_Rocblas_621294725,0.0628755
GemmStridedBatchedTunableOp_Half_TN,tn_1265_1265_128_B_32,Gemm_Hipblaslt_TN_6929,0.0765037
GemmStridedBatchedTunableOp_Half_TN,tn_1197_1197_128_B_32,Gemm_Rocblas_621294725,0.0716801
GemmStridedBatchedTunableOp_Half_TN,tn_1261_1261_128_B_32,Gemm_Rocblas_621294725,0.076106
GemmStridedBatchedTunableOp_Half_TN,tn_1447_1447_128_B_32,Gemm_Rocblas_621286807,0.0977174
GemmStridedBatchedTunableOp_Half_TN,tn_1425_1425_128_B_32,Gemm_Rocblas_621286413,0.0938922
GemmStridedBatchedTunableOp_Half_TN,tn_1319_1319_128_B_32,Gemm_Hipblaslt_TN_9774,0.0856934
GemmStridedBatchedTunableOp_Half_TN,tn_1037_1037_128_B_32,Gemm_Rocblas_621294725,0.0579847
GemmStridedBatchedTunableOp_Half_TN,tn_1047_1047_128_B_32,Gemm_Rocblas_621294725,0.0597382
GemmStridedBatchedTunableOp_Half_TN,tn_1314_1314_128_B_32,Gemm_Hipblaslt_TN_6871,0.0843499
GemmStridedBatchedTunableOp_Half_TN,tn_1085_1085_128_B_32,Gemm_Rocblas_621294725,0.0614995
GemmStridedBatchedTunableOp_Half_TN,tn_1457_1457_128_B_32,Gemm_Hipblaslt_TN_6879,0.0981319
GemmStridedBatchedTunableOp_Half_TN,tn_1143_1143_128_B_32,Gemm_Hipblaslt_TN_7483,0.0657953
GemmStridedBatchedTunableOp_Half_TN,tn_1283_1283_128_B_32,Gemm_Rocblas_621294725,0.0828653
GemmStridedBatchedTunableOp_Half_TN,tn_1421_1421_128_B_32,Gemm_Rocblas_621294110,0.0923548
GemmTunableOp_Half_TN,tn_4096_3333_4096,Gemm_Hipblaslt_TN_9743,0.192486
GemmTunableOp_Half_TN,tn_4096_3430_11008,Gemm_Hipblaslt_TN_9743,0.516687
GemmTunableOp_Half_TN,tn_4096_226_4096,Gemm_Rocblas_621294172,0.0259013
GemmTunableOp_Half_TN,tn_32000_19_4096,Gemm_Rocblas_621294191,0.0522165
GemmTunableOp_Half_TN,tn_12288_2770_4096,Gemm_Rocblas_621294426,0.508074
GemmTunableOp_Half_TN,tn_4096_2850_4096,Gemm_Hipblaslt_TN_9852,0.1683
GemmTunableOp_Half_TN,tn_22016_224_4096,Gemm_Hipblaslt_TN_9641,0.0978211
GemmTunableOp_Half_TN,tn_12288_2750_4096,Gemm_Hipblaslt_TN_9690,0.507183
GemmTunableOp_Half_TN,tn_4096_230_4096,Gemm_Rocblas_621294230,0.0259069
GemmTunableOp_Half_TN,tn_12288_31_4096,Gemm_Rocblas_621294064,0.0228216
GemmTunableOp_Half_TN,tn_4096_2786_4096,Gemm_Hipblaslt_TN_9799,0.167379
GemmTunableOp_Half_TN,tn_4096_2818_4096,Gemm_Rocblas_621286684,0.170594
GemmTunableOp_Half_TN,tn_22016_254_4096,Gemm_Hipblaslt_TN_9720,0.100034
