Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_4096_256_4096,Gemm_Rocblas_621294230,0.0257656
GemmTunableOp_Half_TN,tn_28672_256_4096,Gemm_Rocblas_621286584,0.120387
GemmTunableOp_Half_TN,tn_6144_256_4096,Gemm_Hipblaslt_TN_9545,0.0362545
GemmTunableOp_Half_TN,tn_28672_8192_4096,Gemm_Hipblaslt_TN_9959,3.35585
GemmTunableOp_Half_TN,tn_128256_232_4096,Gemm_Rocblas_621286892,0.58991
GemmTunableOp_Half_TN,tn_4096_8192_14336,Gemm_Hipblaslt_TN_9815,1.66024
GemmTunableOp_Half_TN,tn_4096_232_14336,Gemm_Hipblaslt_TN_8879,0.0756179
GemmTunableOp_Half_TN,tn_128256_256_4096,Gemm_Rocblas_621286892,0.599974
GemmTunableOp_Half_TN,tn_6144_232_4096,Gemm_Hipblaslt_TN_9495,0.0330829
GemmTunableOp_Half_TN,tn_6144_8192_4096,Gemm_Rocblas_621286678,0.668427
GemmStridedBatchedTunableOp_Half_TN,tn_32_32_128_B_32,Default,0.0063739
GemmTunableOp_Half_TN,tn_6144_8000_4096,Gemm_Rocblas_621294127,0.649736
GemmTunableOp_Half_TN,tn_28672_232_4096,Gemm_Rocblas_621286584,0.120364
GemmTunableOp_Half_TN,tn_4096_8000_14336,Gemm_Hipblaslt_TN_9815,1.58895
GemmTunableOp_Half_TN,tn_4096_8000_4096,Gemm_Hipblaslt_TN_9914,0.435721
GemmTunableOp_Half_TN,tn_4096_232_4096,Gemm_Rocblas_621294230,0.025355
GemmTunableOp_Half_TN,tn_4096_256_14336,Gemm_Hipblaslt_TN_9303,0.0797124
GemmTunableOp_Half_TN,tn_28672_8000_4096,Gemm_Hipblaslt_TN_9888,3.18615
GemmTunableOp_Half_TN,tn_4096_8192_4096,Gemm_Hipblaslt_TN_9914,0.45082
GemmStridedBatchedTunableOp_Half_TN,tn_2000_2000_128_B_32,Gemm_Hipblaslt_TN_150,0.15056
