Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_57344_4082_8192,Gemm_Hipblaslt_TN_9936,6.60572
GemmTunableOp_Half_TN,tn_8192_3425_28672,Gemm_Hipblaslt_TN_9732,2.95428
GemmTunableOp_Half_TN,tn_10240_121_8192,Gemm_Hipblaslt_TN_7543,0.0631201
GemmTunableOp_Half_TN,tn_10240_101_8192,Gemm_Rocblas_621294504,0.0595292
GemmTunableOp_Half_TN,tn_8192_1233_28672,Gemm_Hipblaslt_TN_9774,1.18398
GemmTunableOp_Half_TN,tn_8192_3331_8192,Gemm_Hipblaslt_TN_9697,0.745936
GemmTunableOp_Half_TN,tn_8192_1233_8192,Gemm_Hipblaslt_TN_9691,0.298669
GemmTunableOp_Half_TN,tn_8192_1268_28672,Gemm_Hipblaslt_TN_9774,1.19267
GemmTunableOp_Half_TN,tn_8192_116_8192,Gemm_Hipblaslt_TN_9303,0.0539973
GemmTunableOp_Half_TN,tn_8192_1185_8192,Gemm_Hipblaslt_TN_9209,0.294593
GemmTunableOp_Half_TN,tn_8192_2041_8192,Gemm_Hipblaslt_TN_9742,0.477053
GemmTunableOp_Half_TN,tn_57344_111_8192,Gemm_Rocblas_621294530,0.358677
GemmTunableOp_Half_TN,tn_10240_1268_8192,Gemm_Hipblaslt_TN_9192,0.359554
GemmTunableOp_Half_TN,tn_8192_1208_28672,Gemm_Hipblaslt_TN_9774,1.1858
GemmTunableOp_Half_TN,tn_8192_3206_8192,Gemm_Hipblaslt_TN_9697,0.724213
GemmTunableOp_Half_TN,tn_8192_1321_28672,Gemm_Hipblaslt_TN_9774,1.21885
GemmTunableOp_Half_TN,tn_57344_1112_8192,Gemm_Hipblaslt_TN_9774,2.07104
GemmTunableOp_Half_TN,tn_8192_14_8192,Gemm_Hipblaslt_TN_9392,0.0305944
GemmTunableOp_Half_TN,tn_8192_1168_28672,Gemm_Hipblaslt_TN_9774,1.15811
GemmTunableOp_Half_TN,tn_8192_126_28672,Gemm_Hipblaslt_TN_8378,0.20904
GemmTunableOp_Half_TN,tn_8192_3451_28672,Gemm_Hipblaslt_TN_9732,2.95896
GemmTunableOp_Half_TN,tn_8192_3546_28672,Gemm_Hipblaslt_TN_9732,3.02378
GemmTunableOp_Half_TN,tn_8192_1249_28672,Gemm_Hipblaslt_TN_9774,1.19686
GemmTunableOp_Half_TN,tn_10240_1208_8192,Gemm_Hipblaslt_TN_9798,0.351978
GemmTunableOp_Half_TN,tn_8192_3379_28672,Gemm_Hipblaslt_TN_9732,2.9336
GemmTunableOp_Half_TN,tn_10240_113_8192,Gemm_Rocblas_621294504,0.060286
GemmTunableOp_Half_TN,tn_8192_107_8192,Gemm_Hipblaslt_TN_8891,0.052926
GemmTunableOp_Half_TN,tn_57344_1281_8192,Gemm_Hipblaslt_TN_9841,2.35931
GemmTunableOp_Half_TN,tn_10240_3747_8192,Gemm_Hipblaslt_TN_9763,1.06245
GemmTunableOp_Half_TN,tn_57344_1360_8192,Gemm_Hipblaslt_TN_9830,2.57426
GemmTunableOp_Half_TN,tn_10240_1377_8192,Gemm_Hipblaslt_TN_9194,0.395475
GemmTunableOp_Half_TN,tn_57344_4063_8192,Gemm_Hipblaslt_TN_9882,6.68066
GemmTunableOp_Half_TN,tn_8192_1208_8192,Gemm_Hipblaslt_TN_9690,0.296675
GemmTunableOp_Half_TN,tn_8192_3203_28672,Gemm_Hipblaslt_TN_9732,2.86907
GemmTunableOp_Half_TN,tn_57344_2000_8192,Gemm_Hipblaslt_TN_156,3.4991
GemmTunableOp_Half_TN,tn_10240_2000_8192,Gemm_Hipblaslt_TN_9649,0.592736
GemmTunableOp_Half_TN,tn_57344_1000_8192,Gemm_Rocblas_621286801,1.81598
GemmTunableOp_Half_TN,tn_57344_3379_8192,Gemm_Hipblaslt_TN_159,5.7259
GemmTunableOp_Half_TN,tn_10240_2166_8192,Gemm_Hipblaslt_TN_9788,0.641083
GemmTunableOp_Half_TN,tn_57344_132_8192,Gemm_Hipblaslt_TN_9565,0.396349
GemmTunableOp_Half_TN,tn_57344_1104_8192,Gemm_Hipblaslt_TN_9841,2.02829
GemmTunableOp_Half_TN,tn_32000_102_8192,Gemm_Rocblas_621294212,0.21157
GemmTunableOp_Half_TN,tn_57344_1248_8192,Gemm_Hipblaslt_TN_9793,2.35411
GemmTunableOp_Half_TN,tn_10240_1360_8192,Gemm_Hipblaslt_TN_9237,0.393677
GemmTunableOp_Half_TN,tn_10240_130_8192,Gemm_Hipblaslt_TN_7229,0.06745
GemmTunableOp_Half_TN,tn_57344_3274_8192,Gemm_Hipblaslt_TN_9816,5.82995
GemmTunableOp_Half_TN,tn_32000_91_8192,Gemm_Hipblaslt_TN_9482,0.203162
GemmTunableOp_Half_TN,tn_57344_3971_8192,Gemm_Rocblas_621294648,6.63004
GemmTunableOp_Half_TN,tn_8192_3475_8192,Gemm_Hipblaslt_TN_9677,0.770615
GemmTunableOp_Half_TN,tn_10240_1249_8192,Gemm_Hipblaslt_TN_9697,0.359116
GemmTunableOp_Half_TN,tn_10240_1025_8192,Gemm_Hipblaslt_TN_9211,0.308003
GemmTunableOp_Half_TN,tn_32000_119_8192,Gemm_Rocblas_621294212,0.217214
GemmTunableOp_Half_TN,tn_32000_132_8192,Gemm_Hipblaslt_TN_9506,0.244174
GemmTunableOp_Half_TN,tn_57344_1392_8192,Gemm_Hipblaslt_TN_9830,2.59379
GemmTunableOp_Half_TN,tn_8192_12_28672,Gemm_Rocblas_621294224,0.120906
GemmTunableOp_Half_TN,tn_8192_3283_28672,Gemm_Hipblaslt_TN_9684,2.91372
GemmTunableOp_Half_TN,tn_8192_99_28672,Gemm_Hipblaslt_TN_8378,0.196151
GemmTunableOp_Half_TN,tn_10240_3178_8192,Gemm_Hipblaslt_TN_9753,0.880167
GemmTunableOp_Half_TN,tn_32000_104_8192,Gemm_Rocblas_621286475,0.211121
GemmTunableOp_Half_TN,tn_8192_3235_28672,Gemm_Hipblaslt_TN_9732,2.89533
GemmTunableOp_Half_TN,tn_10240_117_8192,Gemm_Rocblas_621294504,0.0628704
GemmTunableOp_Half_TN,tn_57344_1374_8192,Gemm_Hipblaslt_TN_9830,2.57775
GemmTunableOp_Half_TN,tn_8192_1153_28672,Gemm_Hipblaslt_TN_9774,1.14809
GemmTunableOp_Half_TN,tn_8192_1329_8192,Gemm_Hipblaslt_TN_9697,0.314365
GemmTunableOp_Half_TN,tn_10240_3498_8192,Gemm_Rocblas_621294320,1.00922
GemmTunableOp_Half_TN,tn_8192_4083_8192,Gemm_Hipblaslt_TN_9749,0.895786
GemmTunableOp_Half_TN,tn_10240_1281_8192,Gemm_Hipblaslt_TN_9697,0.359207
GemmTunableOp_Half_TN,tn_10240_133_8192,Gemm_Hipblaslt_TN_9367,0.0689293
GemmTunableOp_Half_TN,tn_10240_3619_8192,Gemm_Hipblaslt_TN_9814,1.03059
GemmTunableOp_Half_TN,tn_8192_3235_8192,Gemm_Hipblaslt_TN_9697,0.723394
GemmTunableOp_Half_TN,tn_10240_3000_8192,Gemm_Hipblaslt_TN_9813,0.839224
GemmTunableOp_Half_TN,tn_57344_3400_8192,Gemm_Hipblaslt_TN_9915,5.77953
GemmTunableOp_Half_TN,tn_10240_18_8192,Gemm_Hipblaslt_TN_9415,0.0387502
GemmTunableOp_Half_TN,tn_57344_2015_8192,Gemm_Hipblaslt_TN_9830,3.52307
GemmTunableOp_Half_TN,tn_8192_11_8192,Gemm_Hipblaslt_TN_9392,0.0304747
