Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_8192_2207_28672,Gemm_Hipblaslt_TN_9762,2.07892
GemmTunableOp_Half_TN,tn_8192_54_8192,Gemm_Hipblaslt_TN_7484,0.038793
GemmTunableOp_Half_TN,tn_8192_4017_8192,Gemm_Rocblas_621294330,0.867799
GemmTunableOp_Half_TN,tn_10240_2255_8192,Gemm_Hipblaslt_TN_9697,0.658812
GemmTunableOp_Half_TN,tn_8192_2191_8192,Gemm_Hipblaslt_TN_9742,0.506478
GemmTunableOp_Half_TN,tn_10240_2369_8192,Gemm_Rocblas_621294315,0.67399
GemmTunableOp_Half_TN,tn_8192_2177_28672,Gemm_Hipblaslt_TN_9762,2.07146
GemmTunableOp_Half_TN,tn_10240_2049_8192,Gemm_Hipblaslt_TN_9691,0.608461
GemmTunableOp_Half_TN,tn_57344_2145_8192,Default,3.92515
GemmTunableOp_Half_TN,tn_8192_2289_28672,Gemm_Hipblaslt_TN_9771,2.26071
GemmTunableOp_Half_TN,tn_8192_2284_28672,Gemm_Hipblaslt_TN_9771,2.25508
GemmTunableOp_Half_TN,tn_8192_55_8192,Gemm_Hipblaslt_TN_7484,0.0391088
GemmTunableOp_Half_TN,tn_8192_2159_28672,Gemm_Hipblaslt_TN_9762,2.06282
GemmTunableOp_Half_TN,tn_8192_2049_8192,Gemm_Hipblaslt_TN_9742,0.492802
GemmTunableOp_Half_TN,tn_8192_2315_8192,Gemm_Hipblaslt_TN_9651,0.55397
GemmTunableOp_Half_TN,tn_8192_2079_8192,Gemm_Hipblaslt_TN_9742,0.498609
GemmTunableOp_Half_TN,tn_57344_2000_8192,Gemm_Hipblaslt_TN_154,3.50451
GemmTunableOp_Half_TN,tn_57344_2112_8192,Gemm_Hipblaslt_TN_156,3.94822
GemmTunableOp_Half_TN,tn_8192_2097_28672,Gemm_Hipblaslt_TN_9762,2.05824
GemmTunableOp_Half_TN,tn_8192_2417_8192,Gemm_Hipblaslt_TN_9274,0.560969
GemmTunableOp_Half_TN,tn_8192_2112_8192,Gemm_Hipblaslt_TN_9742,0.499519
GemmTunableOp_Half_TN,tn_10240_2112_8192,Gemm_Hipblaslt_TN_9209,0.622322
GemmTunableOp_Half_TN,tn_57344_55_8192,Gemm_Rocblas_621294205,0.305504
GemmTunableOp_Half_TN,tn_32000_65_8192,Gemm_Hipblaslt_TN_9479,0.183421
GemmTunableOp_Half_TN,tn_10240_4049_8192,Gemm_Hipblaslt_TN_9743,1.14178
GemmTunableOp_Half_TN,tn_8192_2193_8192,Gemm_Hipblaslt_TN_9742,0.507003
GemmTunableOp_Half_TN,tn_57344_2315_8192,Gemm_Rocblas_621294543,4.40909
GemmTunableOp_Half_TN,tn_32000_56_8192,Gemm_Rocblas_621286466,0.163839
GemmTunableOp_Half_TN,tn_8192_4096_28672,Gemm_Rocblas_621286894,3.46301
GemmTunableOp_Half_TN,tn_8192_2257_8192,Gemm_Hipblaslt_TN_9763,0.509763
GemmTunableOp_Half_TN,tn_57344_2239_8192,Gemm_Rocblas_621294543,4.02561
GemmTunableOp_Half_TN,tn_10240_2225_8192,Gemm_Hipblaslt_TN_9689,0.643863
GemmTunableOp_Half_TN,tn_57344_2417_8192,Default,4.3666
GemmTunableOp_Half_TN,tn_8192_2065_8192,Gemm_Hipblaslt_TN_9742,0.496774
GemmTunableOp_Half_TN,tn_8192_62_28672,Gemm_Rocblas_621294228,0.146239
GemmTunableOp_Half_TN,tn_57344_2017_8192,Gemm_Hipblaslt_TN_9840,3.52199
GemmTunableOp_Half_TN,tn_32000_63_8192,Gemm_Rocblas_621286466,0.164594
GemmTunableOp_Half_TN,tn_8192_64_28672,Gemm_Rocblas_621294228,0.148869
GemmTunableOp_Half_TN,tn_10240_65_8192,Gemm_Hipblaslt_TN_9304,0.0494537
GemmTunableOp_Half_TN,tn_8192_4000_28672,Gemm_Rocblas_621294643,3.43725
GemmTunableOp_Half_TN,tn_8192_2145_28672,Gemm_Hipblaslt_TN_9762,2.06178
GemmTunableOp_Half_TN,tn_10240_2270_8192,Gemm_Rocblas_621286582,0.65816
