Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_3072_877_4096,Gemm_Hipblaslt_TN_9147,0.0579361
GemmTunableOp_Half_TN,tn_4096_835_2048,Gemm_Hipblaslt_TN_9352,0.035296
GemmTunableOp_Half_TN,tn_14336_1827_4096,Gemm_Hipblaslt_TN_9187,0.377485
GemmTunableOp_Half_TN,tn_3072_881_4096,Gemm_Hipblaslt_TN_9131,0.0576574
GemmTunableOp_Half_TN,tn_14336_851_4096,Gemm_Hipblaslt_TN_9697,0.182847
GemmTunableOp_Half_TN,tn_3072_2635_4096,Gemm_Hipblaslt_TN_9329,0.124042
GemmTunableOp_Half_TN,tn_14336_4242_4096,Gemm_Rocblas_621294420,0.849594
GemmTunableOp_Half_TN,tn_3072_2602_4096,Gemm_Hipblaslt_TN_9134,0.122835
GemmTunableOp_Half_TN,tn_4096_1886_2048,Gemm_Hipblaslt_TN_9134,0.0648923
GemmTunableOp_Half_TN,tn_3072_917_4096,Gemm_Hipblaslt_TN_9352,0.0587358
GemmTunableOp_Half_TN,tn_14336_844_4096,Gemm_Hipblaslt_TN_9677,0.182005
GemmTunableOp_Half_TN,tn_14336_985_4096,Gemm_Hipblaslt_TN_9217,0.20927
GemmTunableOp_Half_TN,tn_4096_1900_7168,Gemm_Hipblaslt_TN_9645,0.211038
GemmTunableOp_Half_TN,tn_4096_805_7168,Gemm_Hipblaslt_TN_9158,0.110971
GemmTunableOp_Half_TN,tn_14336_2571_4096,Gemm_Hipblaslt_TN_9793,0.544841
GemmTunableOp_Half_TN,tn_64128_80_4096,Gemm_Hipblaslt_TN_9058,0.179927
GemmTunableOp_Half_TN,tn_14336_1853_4096,Gemm_Hipblaslt_TN_9187,0.379554
GemmTunableOp_Half_TN,tn_4096_7283_2048,Gemm_Hipblaslt_TN_9743,0.215564
GemmTunableOp_Half_TN,tn_4096_808_7168,Gemm_Hipblaslt_TN_9147,0.106086
GemmTunableOp_Half_TN,tn_3072_808_4096,Gemm_Hipblaslt_TN_9047,0.052754
GemmTunableOp_Half_TN,tn_4096_2732_2048,Gemm_Hipblaslt_TN_9672,0.0888027
GemmTunableOp_Half_TN,tn_4096_2719_2048,Gemm_Hipblaslt_TN_9690,0.0872749
GemmTunableOp_Half_TN,tn_14336_861_4096,Gemm_Hipblaslt_TN_9187,0.184149
GemmTunableOp_Half_TN,tn_14336_803_4096,Gemm_Hipblaslt_TN_9697,0.179042
GemmTunableOp_Half_TN,tn_3072_2773_4096,Gemm_Hipblaslt_TN_9567,0.131539
GemmTunableOp_Half_TN,tn_14336_846_4096,Gemm_Hipblaslt_TN_9677,0.182627
GemmTunableOp_Half_TN,tn_4096_850_7168,Gemm_Hipblaslt_TN_9099,0.113792
GemmTunableOp_Half_TN,tn_3072_7283_4096,Gemm_Hipblaslt_TN_9681,0.32049
GemmTunableOp_Half_TN,tn_14336_8054_4096,Gemm_Hipblaslt_TN_9890,1.58229
GemmTunableOp_Half_TN,tn_3072_2872_4096,Gemm_Hipblaslt_TN_9567,0.133462
GemmTunableOp_Half_TN,tn_4096_800_2048,Gemm_Hipblaslt_TN_9352,0.0334913
GemmTunableOp_Half_TN,tn_14336_3310_4096,Gemm_Hipblaslt_TN_9223,0.647569
GemmTunableOp_Half_TN,tn_14336_930_4096,Gemm_Hipblaslt_TN_9697,0.189396
GemmTunableOp_Half_TN,tn_3072_840_4096,Gemm_Hipblaslt_TN_9047,0.0541286
GemmTunableOp_Half_TN,tn_3072_1867_4096,Gemm_Hipblaslt_TN_9641,0.0949976
GemmTunableOp_Half_TN,tn_4096_4242_2048,Gemm_Hipblaslt_TN_9704,0.121877
GemmTunableOp_Half_TN,tn_64128_83_4096,Gemm_Hipblaslt_TN_9057,0.181376
GemmTunableOp_Half_TN,tn_3072_819_4096,Gemm_Hipblaslt_TN_9047,0.054026
GemmTunableOp_Half_TN,tn_14336_1792_4096,Gemm_Hipblaslt_TN_9139,0.374395
GemmTunableOp_Half_TN,tn_14336_7823_4096,Gemm_Hipblaslt_TN_9933,1.54923
GemmTunableOp_Half_TN,tn_4096_2572_7168,Gemm_Hipblaslt_TN_9799,0.275935
GemmTunableOp_Half_TN,tn_14336_849_4096,Gemm_Hipblaslt_TN_9697,0.182424
GemmTunableOp_Half_TN,tn_4096_1913_7168,Gemm_Hipblaslt_TN_9645,0.211358
GemmTunableOp_Half_TN,tn_14336_890_4096,Gemm_Hipblaslt_TN_9677,0.182976
GemmTunableOp_Half_TN,tn_64128_175_4096,Gemm_Hipblaslt_TN_9707,0.249846
GemmTunableOp_Half_TN,tn_4096_1792_7168,Gemm_Hipblaslt_TN_9645,0.203158
GemmTunableOp_Half_TN,tn_4096_2717_7168,Gemm_Hipblaslt_TN_9690,0.278998
