Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_28672_4096_8192,Gemm_Rocblas_621294636,3.33009
GemmTunableOp_Half_TN,tn_5120_4000_8192,Gemm_Hipblaslt_TN_9649,0.602327
GemmTunableOp_Half_TN,tn_16000_232_8192,Gemm_Rocblas_621294217,0.16003
GemmTunableOp_Half_TN,tn_8192_4000_4096,Gemm_Hipblaslt_TN_9655,0.452701
GemmTunableOp_Half_TN,tn_8192_256_14336,Gemm_Rocblas_621286469,0.139528
GemmTunableOp_Half_TN,tn_8192_256_4096,Gemm_Rocblas_621294232,0.0426777
GemmTunableOp_Half_TN,tn_8192_4096_4096,Gemm_Hipblaslt_TN_9768,0.464807
GemmTunableOp_Half_TN,tn_5120_256_8192,Gemm_Rocblas_621286764,0.0591285
GemmTunableOp_Half_TN,tn_28672_232_8192,Gemm_Hipblaslt_TN_9540,0.292156
GemmStridedBatchedTunableOp_Half_TN,tn_16_16_128_B_32,Default,0.00633588
GemmTunableOp_Half_TN,tn_28672_4000_8192,Gemm_Rocblas_621294634,3.32549
GemmTunableOp_Half_TN,tn_8192_232_4096,Gemm_Rocblas_621294207,0.0427668
GemmTunableOp_Half_TN,tn_16000_256_8192,Gemm_Hipblaslt_TN_9583,0.165512
GemmTunableOp_Half_TN,tn_8192_4000_14336,Gemm_Hipblaslt_TN_9841,1.70036
GemmTunableOp_Half_TN,tn_5120_232_8192,Gemm_Hipblaslt_TN_9468,0.0579772
GemmTunableOp_Half_TN,tn_8192_232_14336,Gemm_Hipblaslt_TN_9575,0.135818
GemmTunableOp_Half_TN,tn_8192_4096_14336,Gemm_Hipblaslt_TN_9756,1.72167
GemmTunableOp_Half_TN,tn_28672_256_8192,Gemm_Hipblaslt_TN_9540,0.291877
GemmTunableOp_Half_TN,tn_5120_4096_8192,Gemm_Hipblaslt_TN_9649,0.595885
GemmStridedBatchedTunableOp_Half_TN,tn_2000_2000_128_B_32,Gemm_Rocblas_621286397,0.147752
